Method,Task,AccessUAV,D_total_ms,D_access_ms,D_compute_ms,D_trans_ms,D_return_ms,Substitutions
Proposed,0,0,88.747800,7.089630,47.464179,32.185937,2.008054,0
Proposed,1,1,72.477206,5.165110,43.347041,23.146335,0.818720,0
Proposed,2,2,75.165735,4.931634,49.230404,18.676756,2.326942,0
Proposed,3,3,92.726362,7.657057,44.817307,38.306827,1.945170,0
Proposed,4,0,78.415956,6.394964,44.533157,26.077156,1.410680,0
Proposed,5,1,87.426472,4.905284,46.675818,35.021121,0.824248,0
Proposed,6,2,77.025840,5.280750,49.056219,20.529129,2.159742,0
Proposed,7,3,77.855301,5.163217,44.850719,26.718017,1.123348,0
Proposed,8,0,58.894121,3.047995,45.230335,9.856986,0.758806,0
Proposed,9,1,78.385780,4.308077,46.009461,27.448342,0.619900,0
Random Placement,0,0,95.742649,7.089630,50.110362,36.422474,2.120183,0
Random Placement,1,1,90.906538,5.165110,45.211694,37.460786,3.068949,0
Random Placement,2,2,88.666069,4.931634,47.932554,35.035399,0.766482,0
Random Placement,3,3,93.868973,7.657057,46.735551,37.190834,2.285531,1
Random Placement,4,0,90.150107,6.394964,47.203012,34.696132,1.855999,0
Random Placement,5,1,86.998383,4.905284,47.974290,31.275298,2.843510,0
Random Placement,6,2,87.739250,5.280750,48.274242,33.418144,0.766113,0
Random Placement,7,3,92.348298,5.163217,47.302893,38.257073,1.625116,0
Random Placement,8,0,64.803427,3.047995,47.736829,13.005896,1.012707,0
Random Placement,9,1,85.042051,4.308077,47.235162,30.842710,2.656102,0
Importance-based Placement,0,0,51.906153,7.089630,43.829021,0.000000,0.987502,0
Importance-based Placement,1,1,54.055301,5.165110,41.265874,5.806507,1.817811,0
Importance-based Placement,2,2,56.130250,4.931634,43.675260,5.893800,1.629556,0
Importance-based Placement,3,3,64.030984,7.657057,41.915674,11.282796,3.175456,0
Importance-based Placement,4,0,49.323166,6.394964,41.929948,0.000000,0.998254,0
Importance-based Placement,5,1,54.590119,4.905284,42.549718,5.464947,1.670169,0
Importance-based Placement,6,2,56.740879,5.280750,43.762289,6.314785,1.383055,0
Importance-based Placement,7,3,57.035797,5.163217,42.025782,7.897957,1.948841,0
Importance-based Placement,8,0,45.617748,3.047995,42.087972,0.000000,0.481781,0
Importance-based Placement,9,1,52.984766,4.308077,42.428953,4.781829,1.465908,0
No-similarity Placement,0,0,51.906153,7.089630,43.829021,0.000000,0.987502,0
No-similarity Placement,1,1,65.343182,5.165110,42.122834,16.237427,1.817811,0
No-similarity Placement,2,2,61.119355,4.931634,46.152745,8.405420,1.629556,0
No-similarity Placement,3,3,72.744909,7.657057,43.910591,18.001806,3.175456,0
No-similarity Placement,4,0,49.323166,6.394964,41.929948,0.000000,0.998254,0
No-similarity Placement,5,1,67.467193,4.905284,43.742287,17.149453,1.670169,0
No-similarity Placement,6,2,61.909386,5.280750,46.239774,9.005807,1.383055,0
No-similarity Placement,7,3,58.690022,5.163217,42.863563,8.714401,1.948841,0
No-similarity Placement,8,0,49.538074,3.047995,42.889143,3.119154,0.481781,0
No-similarity Placement,9,1,58.108353,4.308077,42.787117,9.547251,1.465908,0
